d,cov,cor,d_jittered,seq
5,0.11716267455626413,0.031115993987548912,5.0240740736886735,11011001
5,-0.09198634273371603,-0.02442967863510496,4.922960149277769,11011010
6,-0.13132656993280958,-0.03487763296554284,6.003163099710017,11011011
5,0.05992905742303345,0.01591592371475855,5.007825326898269,11011100
6,-0.055705783276893635,-0.014794309058582785,6.011609051810014,11011101
6,-0.08756091291214825,-0.023254375593912475,5.970134196551732,11011110
7,-0.12694429225593512,-0.03371379024548003,6.9881039135132,11011111
3,0.4695507343201238,0.12470300700533976,2.9287969545508736,11100000
4,0.35335567493208964,0.09384399168331667,3.9753340058318902,11100001
4,0.32198906726373444,0.08551366652374849,3.972856926199164,11100010
5,0.28233382550163955,0.07498205081151421,5.020802502313071,11100011
4,0.14390992417195142,0.038219512760718624,3.9421908784089044,11100100
5,0.028071101923079315,0.007455106687949101,5.0390599050855,11100101
5,0.07270784301146987,0.019309706052383628,5.074724227224569,11100110
6,0.033196091668435845,0.008816198440990151,5.8965007487493235,11100111
4,0.17568030980738158,0.046657073034570375,4.021312936538905,11101000
5,0.059929057423033436,0.015915923714758546,5.033845401751512,11101001
5,0.028170077683967256,0.007481392612134139,4.968128148722388,11101010
6,-0.011261380033056387,-0.0029907906654333986,5.98013640928356,11101011
5,0.028170077683967253,0.007481392612134138,4.9933559711206525,11101100
6,-0.08756091291214829,-0.023254375593912486,5.985110456029914,11101101
6,-0.0430370154682794,-0.011429745178016969,5.984549351547644,11101110
7,-0.08246875946687873,-0.021902004486076484,6.916199809683501,11101111
4,0.17568030980738147,0.04665707303457035,4.057616578239156,11110000
5,0.05992905742303346,0.015915923714758553,5.053980929601841,11110001
5,0.028170077683967256,0.007481392612134139,4.9593317870397895,11110010
6,-0.011261380033056356,-0.0029907906654333904,5.926678783609875,11110011
5,0.028170077683967197,0.007481392612134124,5.026053243822638,11110100
6,-0.08756091291214828,-0.023254375593912482,5.9712106015093465,11110101
6,-0.0430370154682794,-0.011429745178016969,6.007097658166039,11110110
7,-0.08246875946687873,-0.021902004486076484,6.9840335791427455,11110111
5,0.05992905742303356,0.015915923714758577,5.034576937553509,11111000
6,-0.055705783276893635,-0.014794309058582785,6.0347374571828,11111001
6,-0.08756091291214826,-0.02325437559391248,5.963720131076821,11111010
7,-0.12694429225593515,-0.03371379024548004,6.930831802230247,11111011
6,-0.011261380033056354,-0.00299079066543339,5.920853080133246,11111100
7,-0.12694429225593504,-0.03371379024548001,7.03051896895536,11111101
7,-0.08246875946687868,-0.02190200448607647,6.940557037110799,11111110
8,-0.12186848117820219,-0.032365759333973086,7.974659182285065,11111111
